動画,動画のタイトル,動画公開時刻,低評価数,高評価数,視聴回数,総再生時間（時間）,チャンネル登録者,推定収益 (JPY),インプレッション数,インプレッションのクリック率 (%)
BP4m4mhu1fw,【SQL対決】DS歴10年の gepuro さんに SQL 勝負を挑んでみた！【初！物理世界コラボ！】#VRアカデミア #072,"Sep 4, 2020",3,131,3793,262.7679,16,978.914,88166,2.67
GHmBBu9bj-k,【テスト生放送】微分幾何をのんびり語るテスト放送【データサイエンティストは微分幾何を学ぼう！】 #VRアカデミア,"Aug 1, 2018",3,22,1417,295.1117,2,181.708,44944,2.11
H1UmUtppWg8,【ブラックショールズ方程式への道⑥】伊藤の公式のこころを理解する【確率微分方程式の基礎】#VRアカデミア #045,"Mar 13, 2020",3,174,4153,584.7026,25,1832.537,119414,2.16
J8yZ0YCKCn4,【LIVE】試験範囲と対策じゃ！【データサイエンティスト検定】 #VRアカデミア #DS検定,"Aug 6, 2021",3,159,5641,1005.3253,23,2064.651,195012,1.97
Mw4j4yPsFtg,【深層学習】関数 - なぜ「深さ」が AI を生み出しているのか？【ディープラーニングの世界 vol. 3 】 #054 #VRアカデミア #DeepLearning,"May 6, 2020",3,844,22417,3473.1244,214,9191.471,399410,3.26
RLlTmbyJORM,【深層学習】学習 - なぜ必要なのか？何をするのか？【ディープラーニングの世界 vol. 2 】 #052 #VRアカデミア #DeepLearning,"Apr 29, 2020",3,799,20514,2749.6388,265,16188.567,341040,3.68
T7nbrIJtYlE,【深層学習】RoBERTa - データと学習方法だけで XLNet を超えたモデル【ディープラーニングの世界vol.35】#118 #VRアカデミア #DeepLearning,"Oct 15, 2021",3,95,1867,118.9461,14,657.588,110737,1.07
fTql4nO8Dnw,【時系列分析④】VAR過程と因果について【Granger 因果検定】 #VRアカデミア #036,"Oct 3, 2019",3,215,8575,1080.8739,93,2492.782,159772,3.39
gQgsqW7GEvs,【LightGBM】ドキュメントを読む生放送【完全理解】 #VRアカデミア,"Feb 3, 2019",3,130,6541,1252.7929,101,4935.811,99577,3.8
hh_KPDZ1D2Y,【偽物の相関を見極めろ！】グラフィカルモデリングで変数の相関関係を把握する【いろんな分析 vol. 4 】 #056 #VRアカデミア,"May 17, 2020",3,734,14363,2544.2897,185,10270.896,386981,2.22
k9r_qQbZS5Q,【不偏分散で N-1 で割る本当の理由】自由度とはなにか【自由度のお話②】#069 #VRアカデミア,"Aug 7, 2020",3,380,9640,1482.786,93,3391.927,199439,2.91
p-SflGf3m2Y,"【深層学習】CNN紹介 ""GoogLeNet"" ILSVRC2014をInceptionで制したモデル【ディープラーニングの世界 vol. 15】#078 #VRアカデミア #DeepLearning","Oct 16, 2020",3,336,8539,1513.9644,60,4724.328,225932,2.18
 -tWolA2WvFI,"【深層学習】CNN紹介 ""LeNet"" 1990年代に活躍したCNN【ディープラーニングの世界 vol. 13 】 #076 #VRアカデミア #DeepLearning","Oct 2, 2020",2,284,9091,1012.6467,95,4358.38,183979,2.39
2v8NEQlJjxU,【LIVE】Among Us 配信 3rd! - VRアカデミア勢が宇宙でわちゃわちゃ！【アイシア視点】 #VRアカデミア #AmongUs #ゲーム実況,"Feb 24, 2021",2,14,1573,91.2337,-7,0,80594,1.26
4CvTWhH6n7c,【LIVE】Among Us 配信 - VRアカデミア勢が宇宙から帰還するようです【アイシア視点】 #VRアカデミア #AmongUs #ゲーム実況,"Jan 3, 2021",2,40,1783,198.3348,-2,241.236,87822,1.24
8D-aAP_dJrA,【LIVE】 質問に答えます【データサイエンスのリアルと未来】 #VRアカデミア,"Jun 10, 2020",2,583,14903,4635.6536,140,22279.925,413904,2.07
9BHks91SYUo,VTuber × YouTuber コラボライブ！ もっちゃんとヨビノリたくみさんと #VRアカデミア でお届けするカオスな2時間,"Oct 14, 2018",2,53,2302,366.733,17,194.651,92155,1.44
BiomXv_9GDw,【1分 Google Spreadsheet 解説 3-3 】 VLOOKUP() 以上に参照を使いこなす INDEX() 関数【 INDEX() 関数】 #VRアカデミア #028_3,"Apr 10, 2019",2,15,614,11.0603,1,91.558,46947,0.73
CBZWzQVcXE4,【深層学習】GPT-3 ①-1 モデルと Sparse Transformer について【ディープラーニングの世界vol.39】#124 #VRアカデミア #DeepLearning,"Dec 24, 2021",2,143,3311,371.8202,30,1460.746,153429,1.38
HbAGHRbuvQ0,【親分超え！？】 AI の力でチャンネル登録者数の今後を予測してみた【待ってろ人類70億！】 #VRアカデミア #007,"Sep 10, 2018",2,72,1704,71.6211,18,430.352,48718,1.85
